"Genus","Interval","Interval_Top","Ex","Or","ExClass","OrClass","richness","occupancy","Single_occurrence","continents","endemic","MaxLat","MinLat","MinLatRel","MaxLatRel","LatRange","LatRangeRel","AbsLatRange","MeanAbsLat","MeanDepth","MaxDepth","MinDepth","DepthRange","Age","gcd","Order","Family","Pedicle.state","Median.Comm.Rich","Mean.Loc.Depth","MaxLatRange.ever","Prop.Cratonic","North.Hemisphere","Prop.North","PropTrunc","Num_Intervals","IH Spec. Richness","GH Spec. Richness","IH.Num.Inhabitable","GH.Num.Inhabitable","cooling.latrange","cooling.start.latrange","warming.latrange","warming.start.latrange","IH.MaxTemp","IH.MinTemp","IH.TempRange","GH.MaxTemp","GH.MinTemp","GH.TempRange"
"Qilianotryma",11,446,0,0,"survive","holdover",5,4,0,4,0,31,1,-31,5,36,36,30,9,4,5,3,2,3,4883.35846030035,"Atrypida","Atrypinidae",-Inf,10,3.798,30,0,1,0.2,0,10,3,0,3,0,14,30,0,30,26.85,23.1375,8.55,31.25,26.7375,7.88333333
"Qilianotryma",12,445.6,1,0,"extinct","holdover",4,3,0,3,0,31,1,-31,-1,30,30,30,10,4,5,3,2,3.39999999999998,4883.35846030035,"Atrypida","Atrypinidae",-Inf,14.5,3.94065656565657,30,0,0,0,0.5,10,2,0,2,0,14,30,0,30,26.85,23.1375,8.55,31.25,26.7375,7.88333333
"Qilianotryma",3,449,0,1,"survive","origination",2,1,0,1,1,10,6,-10,-6,4,4,4,8,4,5,3,2,0,10,"Atrypida","Atrypinidae",-Inf,81,3.54320987654321,4,0,0,0,1,10,0,0,0,0,0,6,0,4,27.08333333,27.08333333,2.33333333,31.76666667,31.76666667,2.61666667
"Qilianotryma",4,448.5,0,0,"survive","holdover",2,1,0,1,1,6,2,-6,-2,4,4,4,4,4,5,3,2,0.5,10,"Atrypida","Atrypinidae",-Inf,2,4,4,0,0,0,0,10,0,0,0,0,0,4,0,4,26.85,26.85,2.93333333,31.25,31.25,4.53333333
"Qilianotryma",5,448,0,0,"survive","holdover",2,1,0,1,1,6,2,-6,-2,4,4,4,4,4,5,3,2,1,10,"Atrypida","Atrypinidae",-Inf,2,4,4,0,0,0,0,10,0,0,0,0,0,4,0,4,26.85,26.85,2.93333333,31.25,31.25,4.53333333
"Qilianotryma",6,447.5,0,0,"survive","holdover",2,1,0,1,1,6,2,-6,-2,4,4,4,4,4,5,3,2,1.5,10,"Atrypida","Atrypinidae",-Inf,2,4,4,0,0,0,0,10,0,0,0,0,0,4,0,4,26.85,26.85,2.93333333,31.25,31.25,4.53333333
"Qilianotryma",7,447.2,0,0,"survive","holdover",2,1,0,1,1,6,2,-6,-2,4,4,4,4,4,5,3,2,1.80000000000001,10,"Atrypida","Atrypinidae",-Inf,2,4,4,0,0,0,0,10,0,0,0,0,0,4,0,4,26.85,26.85,2.93333333,31.25,31.25,4.53333333
"Qilianotryma",8,446.8,0,0,"survive","holdover",2,1,0,1,1,6,2,-6,-2,4,4,4,4,4,5,3,2,2.19999999999999,10,"Atrypida","Atrypinidae",-Inf,2,4,4,0,0,0,0,10,0,0,0,0,0,4,0,4,26.85,26.85,2.93333333,31.25,31.25,4.53333333
"Qilianotryma",9,446.5,0,0,"survive","holdover",3,2,0,2,0,31,2,-31,-2,29,29,29,12,4,5,3,2,2.5,4883.35846030035,"Atrypida","Atrypinidae",-Inf,2,4.00282485875706,29,0,0,0,0,10,1,0,1,0,12,29,0,29,26.85,23.1375,8.55,31.25,26.7375,7.88333333
"Quondongia",1,457,0,1,"survive","origination",1,1,1,1,1,14,10,10,14,0,4,4,12,3,5,1,4,0,10,"Strophomenida","Strophomenidae",-Inf,21,3.45238095238095,4,0,1,1,0,5,0,0,0,0,0,4,0,4,27.21666667,27.21666667,1.63333334,31.08333333,31.08333333,2.16666666
